unlearning_classes:1
unlearning_grad:[tensor(125.4890, device='cuda:0'), tensor(114.3698, device='cuda:0'), tensor(135.7741, device='cuda:0'), tensor(137.3748, device='cuda:0'), tensor(130.6612, device='cuda:0'), tensor(131.1099, device='cuda:0'), tensor(118.2802, device='cuda:0'), tensor(126.5006, device='cuda:0'), tensor(118.0814, device='cuda:0'), tensor(118.7987, device='cuda:0')]
unlearning_grad:[tensor(119.3707, device='cuda:0'), tensor(113.6268, device='cuda:0'), tensor(131.6602, device='cuda:0'), tensor(130.4494, device='cuda:0'), tensor(129.9947, device='cuda:0'), tensor(125.0157, device='cuda:0'), tensor(117.3209, device='cuda:0'), tensor(123.9785, device='cuda:0'), tensor(134.5240, device='cuda:0'), tensor(118.1797, device='cuda:0')]
unlearning_grad:[tensor(124.5081, device='cuda:0'), tensor(106.9116, device='cuda:0'), tensor(133.6757, device='cuda:0'), tensor(128.3894, device='cuda:0'), tensor(125.9557, device='cuda:0'), tensor(128.5695, device='cuda:0'), tensor(113.4509, device='cuda:0'), tensor(121.3339, device='cuda:0'), tensor(117.8268, device='cuda:0'), tensor(126.7589, device='cuda:0')]
unlearning_grad:[tensor(126.5981, device='cuda:0'), tensor(117.3652, device='cuda:0'), tensor(134.1135, device='cuda:0'), tensor(132.6577, device='cuda:0'), tensor(140.1418, device='cuda:0'), tensor(128.9503, device='cuda:0'), tensor(115.3233, device='cuda:0'), tensor(127.0312, device='cuda:0'), tensor(119.7315, device='cuda:0'), tensor(121.8833, device='cuda:0')]
unlearning_grad:[tensor(118.4923, device='cuda:0'), tensor(110.8856, device='cuda:0'), tensor(125.4534, device='cuda:0'), tensor(123.1125, device='cuda:0'), tensor(122.9365, device='cuda:0'), tensor(121.4778, device='cuda:0'), tensor(112.1463, device='cuda:0'), tensor(124.8681, device='cuda:0'), tensor(112.5316, device='cuda:0'), tensor(112.2181, device='cuda:0')]
unlearning_grad:[tensor(118.5966, device='cuda:0'), tensor(106.6776, device='cuda:0'), tensor(123.5749, device='cuda:0'), tensor(124.0755, device='cuda:0'), tensor(119.8098, device='cuda:0'), tensor(120.4125, device='cuda:0'), tensor(111.0174, device='cuda:0'), tensor(115.8964, device='cuda:0'), tensor(112.4637, device='cuda:0'), tensor(113.3150, device='cuda:0')]
unlearning_grad:[tensor(124.4995, device='cuda:0'), tensor(111.7876, device='cuda:0'), tensor(135.0110, device='cuda:0'), tensor(132.5487, device='cuda:0'), tensor(131.4393, device='cuda:0'), tensor(131.7387, device='cuda:0'), tensor(119.5019, device='cuda:0'), tensor(124.3172, device='cuda:0'), tensor(120.1095, device='cuda:0'), tensor(117.2236, device='cuda:0')]
unlearning_grad:[tensor(118.8263, device='cuda:0'), tensor(115.1020, device='cuda:0'), tensor(128.5561, device='cuda:0'), tensor(125.1165, device='cuda:0'), tensor(126.5804, device='cuda:0'), tensor(125.9108, device='cuda:0'), tensor(117.0670, device='cuda:0'), tensor(121.8683, device='cuda:0'), tensor(110.8245, device='cuda:0'), tensor(111.9591, device='cuda:0')]
unlearning_grad:[tensor(128.0679, device='cuda:0'), tensor(117.1530, device='cuda:0'), tensor(136.9954, device='cuda:0'), tensor(133.0484, device='cuda:0'), tensor(130.7110, device='cuda:0'), tensor(129.0119, device='cuda:0'), tensor(130.1261, device='cuda:0'), tensor(125.3863, device='cuda:0'), tensor(118.7982, device='cuda:0'), tensor(119.1216, device='cuda:0')]
unlearning_grad:[tensor(124.5595, device='cuda:0'), tensor(129.4907, device='cuda:0'), tensor(132.9783, device='cuda:0'), tensor(132.3282, device='cuda:0'), tensor(130.2786, device='cuda:0'), tensor(129.2296, device='cuda:0'), tensor(115.3779, device='cuda:0'), tensor(124.1403, device='cuda:0'), tensor(117.2359, device='cuda:0'), tensor(115.5670, device='cuda:0')]
unlearning_classes:2
unlearning_grad:[tensor(132.1040, device='cuda:0'), tensor(119.3318, device='cuda:0'), tensor(139.2914, device='cuda:0'), tensor(139.1402, device='cuda:0'), tensor(137.1803, device='cuda:0'), tensor(138.9233, device='cuda:0'), tensor(122.6113, device='cuda:0'), tensor(132.5342, device='cuda:0'), tensor(120.6553, device='cuda:0'), tensor(124.7969, device='cuda:0')]
unlearning_grad:[tensor(119.0281, device='cuda:0'), tensor(114.6273, device='cuda:0'), tensor(135.7066, device='cuda:0'), tensor(128.8615, device='cuda:0'), tensor(126.6817, device='cuda:0'), tensor(128.8475, device='cuda:0'), tensor(111.6948, device='cuda:0'), tensor(131.7561, device='cuda:0'), tensor(116.0466, device='cuda:0'), tensor(117.0548, device='cuda:0')]
